"id";"title";"produced";"length";"premiere";"watchlink";"imdblink";"cover"
"175";"Szeressük egymást";"1940";"77";"1941.02.07";"https://www.mafab.hu/movies/szeressuk-egymast-612348.html";"https://www.imdb.com/title/tt0900993/?ref_=nv_sr_srsg_1_tt_6_nm_0_in_0_q_szeress%25C3%25BCk%2520egy";"Szeressuk egymast.jpg"
"176";"Szervusz, Péter!";"1939";"83";"1939.03.29";"https://m.ok.ru/video/5524299516500";"https://www.imdb.com/title/tt0032001/?ref_=nv_sr_srsg_1_tt_8_nm_0_in_0_q_szervusz%2520";"Szervusz_ Peter_.jpg"
"177";"Sziámi macska";"1943";"87";"1943.10.15";"https://videa.hu/videok/film-animacio/1.-s-z-i-a-tvrip-vhsrip-zYuXBJgWJyg3u4Lh";"https://www.imdb.com/title/tt0036411/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_szii%25C3%25A1mi%2520macska";"Sziami macska.jpg"
"179";"Szíriusz";"1942";"98";"1942.09.05";"https://videa.hu/videok/film-animacio/sziriusz.avi-1942-film-animacio-TlPQaowYCcWazkOS";"https://www.imdb.com/title/tt0035410/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_sz%25C3%25ADriusz";"Sz_riusz_P. Kiss.jpg"
"180";"Szováthy Éva";"1943";"79";"";"https://videa.hu/videok/film-animacio/szovathy-eva-1943-mozizoom-U2hldzYX7uArJ0Ce";"https://www.imdb.com/title/tt0036412/?ref_=nv_sr_srsg_0_tt_1_nm_1_in_0_q_szov%25C3%25A1thy%2520%25C3%25A9va";"Eva_Szovathy.jpg"
"181";"Szüts Mara házassága";"1941";"77";"1941.12.19";"https://videa.hu/videok/film-animacio/...szucs-hazassaga-1941-duna-tv-tvrip-vhsrip-LibFuF40wxHXC7lH";"https://www.imdb.com/title/tt0030827/?ref_=nv_sr_srsg_0_tt_2_nm_6_in_0_q_Sz%25C3%25BCts";"Szuts Mara hazassaga.jpg"
"182";"A szűz és a gödölye";"1941";"88";"1941.11.07";"https://videa.hu/videok/film-animacio/1-a-szuz-es-godolye-tvrip-vhsrip-ocBub7p2Z9PQOH2s";"https://www.imdb.com/title/tt0034256/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_a%2520sz%25C5%25B1z%2520%25C3%25A9s%2520a";"a-szuz-es-a-godolye.jpg"
"183";"Tavaszi szonáta";"1942";"74";"1942.09.18";"https://m.ok.ru/video/2599856048726";"https://www.imdb.com/title/tt0170662/?ref_=nv_sr_srsg_2_tt_8_nm_0_in_0_q_tavaszi%2520sz";"Tavaszi szonata.jpg"
"184";"Tengerparti randevú";"1943";"94";"1944.01.26";"https://m.ok.ru/video/2165308459538";"https://www.imdb.com/title/tt0170667/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_tengerparti%2520ra";"Tengerparti randevu.jpg"
"185";"Tilos a szerelem";"1943";"69";"1943.05.10";"https://m.ok.ru/video/4852943817300";"https://www.imdb.com/title/tt0240981/?ref_=nv_sr_srsg_4_tt_4_nm_0_in_0_q_tilos%2520a%2520szerelem";"Tilos a szerelem.jpg"
"186";"Tiszavirág";"1938";"82";"1939.02.09";"https://videa.hu/videok/film-animacio/tiszavirag-film-animacio-uF4EJc4a2ROSBETB";"https://www.imdb.com/title/tt0240982/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_tiszavir%25C3%25A1g";"error.jpg"
"188";"Tizenhárom kislány mosolyog az égre";"1938";"52";"1938.10.17";"https://videa.hu/videok/film-animacio/13-kislany-mosolyog-az-egre-1938-mici-raday-4XzjIkmSSS6Kh4i4";"https://www.imdb.com/title/tt1429401/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_tizenh%25C3%25A1rom%2520kisl%25C3%25A1ny";"Tizenharom kislany mosolyog az egre.jpg"
"189";"Tokaji aszu";"1940";"83";"1941.02.14";"https://m.ok.ru/video/3539659328018";"https://www.imdb.com/title/tt0140626/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_tokaji%2520ast";"Tokaji aszu.jpg"
"190";"Tomi, a megfagyott gyermek";"1936";"105";"1936.12.09";"https://videa.hu/videok/film-animacio/a-megfagyott-gyermek-1921-film-animacio-O6XjJRsTjPxnEnDK";"https://www.imdb.com/title/tt0138600/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_tomi%2520a%2520meg";"Tomi_ a megfagyott gyermek.jpg"
"191";"Toprini nász";"1939";"80";"1939.05.04";"https://m.ok.ru/video/3517466413586";"https://www.imdb.com/title/tt0138139/?ref_=nv_sr_srsg_0_tt_5_nm_3_in_0_q_Toprini%2520";"andre-de-toth-toprini-nasz-plakat.jpg"
"192";"Tóparti látomás";"1940";"94";"1940.12.20";"https://m.ok.ru/video/7092093061716";"https://www.imdb.com/title/tt0033197/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_T%25C3%25B3parti%2520l%25C3%25A1tom%25C3%25A1s";"Toparti latomas.jpg"
"193";"A tökéletes család";"1942";"74";"";"https://m.ok.ru/video/1587608357394";"https://www.imdb.com/title/tt0035484/?ref_=nv_sr_srsg_2_tt_5_nm_0_in_0_q_a%2520t%25C3%25B6k%25C3%25A9letes%2520csal%25C3%25A1d";"A tokeletes csalad.jpg"
"194";"Tökéletes férfi";"1939";"70";"";"https://m.ok.ru/video/3538636638738";"https://www.imdb.com/title/tt0153392/?ref_=nv_sr_srsg_1_tt_8_nm_0_in_0_q_t%25C3%25B6k%25C3%25A9letes%2520f%25C3%25A9r";"Tokeletes ferfi.jpg"
"195";"Az új rokon";"1934";"83";"1934.09.06";"https://m.ok.ru/video/1116370373272";"https://www.imdb.com/title/tt0032174/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_az%2520%25C3%25BAj%2520rokon";"Az uj rokon.jpg"
"196";"Az utolsó dal";"1941";"73";"1942.02.09";"https://videa.hu/videok/film-animacio/az-utolso-dal.-1941.-74-perc.-magyar-jatekfilm-hp3frSi2RIYC4jiv";"https://www.imdb.com/title/tt0034349/?ref_=nv_sr_srsg_4_tt_8_nm_0_in_0_q_az%2520utols%25C3%25B3%2520dal";"Az utolso dal.jpg"
"197";"Az utolsó Wereczkey";"1939";"59";"1940.01.31";"https://m.ok.ru/video/2433177487890";"https://www.imdb.com/title/tt0149318/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_az%2520utols%25C3%25B3%2520We";"Az utolso Wereczkey.jpg"
"198";"Úrilány szobát keres";"1937";"82";"1937.09.14";"https://m.ok.ru/video/2599854672470";"https://www.imdb.com/title/tt0029829/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_%25C3%25BAril%25C3%25A1ny%2520";"Urilany szobat keres.jpg"
"199";"Vadrózsa";"1938";"79";"1939.03.09";"https://m.ok.ru/video/3539635538450";"https://www.imdb.com/title/tt0032087/?ref_=nv_sr_srsg_3_tt_6_nm_2_in_0_q_vadr%25C3%25B3zsa";"covers_98879.jpg"
"200";"Végre...";"1941";"70";"1941.09.04";"https://m.ok.ru/video/1375550245394";"https://www.imdb.com/title/tt0034367/?ref_=nv_sr_srsg_7_tt_7_nm_0_in_0_q_v%25C3%25A9gre";"Vegre....jpg"
"201";"A vén gazember";"1932";"93";"1932.12.21";"https://m.ok.ru/video/4667168655956";"https://www.imdb.com/title/tt0130343/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_a%2520v%25C3%25A9n%2520gazember";"A ven gazember.jpg"
"203";"Viki";"1937";"65";"1937.11.09";"https://m.ok.ru/video/3539563907602";"https://www.imdb.com/title/tt0029735/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_viki%25201937";"Viki.jpg"
"204";"Vissza az úton";"1940";"69";"1941.02.17";"https://filmezek.com/online-filmek/vissza-az-uton/";"https://www.imdb.com/title/tt0458197/?ref_=nv_sr_srsg_5_tt_8_nm_0_in_0_q_vissza%2520az%2520";"visszaaazuton.jpg"
"205";"Zárt tárgyalás";"1940";"85";"1940.11.21";"https://videa.hu/videok/film-animacio/zart-targyalas-1940-teljes.avi-film-animacio-8yTeJ94sBnK2dazp";"https://www.imdb.com/title/tt0033298/?ref_=nv_sr_srsg_7_tt_8_nm_0_in_0_q_z%25C3%25A1rt%2520t";"Zart targyalas.jpg"
